SURVEY_TITLE,MAJOR_FUNCTION,FUNCTION,SUB_FUNCTION,CODE,CAREER_STREAM,CAREER_LEVEL_TITLE,LEVEL_CODE,MCX_POS_CODE,DUMMY_ID
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Executive,Unknown,EX,AAAEX,1
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Management,Unknown,MX,AAAMX,2
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Management,Senior Director,M6,AAAM6,3
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Management,Director,M5,AAAM5,4
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Management,Senior Manager,M4,AAAM4,5
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Management,Manager,M3,AAAM3,6
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Management,Senior Supervisor,M2,AAAM2,7
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Management,Supervisor,M1,AAAM1,8
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Professional,Unknown,PX,AAAPX,9
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Professional,Fellow,P8,AAAP8,10
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Professional,Strategist,P7,AAAP7,11
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Professional,Advisory,P6,AAAP6,12
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Professional,Expert,P5,AAAP5,13
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Professional,Mastery,P4,AAAP4,14
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Professional,Proficiency,P3,AAAP3,15
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Professional,Developing,P2,AAAP2,16
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Professional,Entry,P1,AAAP1,17
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Support,Unknown,SX,AAASX,18
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Support,Specialist,S5,AAAS5,19
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Support,Advanced,S4,AAAS4,20
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Support,Skilled,S3,AAAS3,21
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Support,Proficient,S2,AAAS2,22
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Support,Associate,S1,AAAS1,23
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Unknown,Unknown,XX,AAAXX,24
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Executive,Unknown,EX,AAGEX,25
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Management,Unknown,MX,AAGMX,26
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Management,Senior Director,M6,AAGM6,27
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Management,Director,M5,AAGM5,28
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Management,Senior Manager,M4,AAGM4,29
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Management,Manager,M3,AAGM3,30
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Management,Senior Supervisor,M2,AAGM2,31
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Management,Supervisor,M1,AAGM1,32
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Professional,Unknown,PX,AAGPX,33
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Professional,Fellow,P8,AAGP8,34
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Professional,Strategist,P7,AAGP7,35
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Professional,Advisory,P6,AAGP6,36
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Professional,Expert,P5,AAGP5,37
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Professional,Mastery,P4,AAGP4,38
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Professional,Proficiency,P3,AAGP3,39
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Professional,Developing,P2,AAGP2,40
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Professional,Entry,P1,AAGP1,41
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Support,Unknown,SX,AAGSX,42
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Support,Specialist,S5,AAGS5,43
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Support,Advanced,S4,AAGS4,44
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Support,Skilled,S3,AAGS3,45
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Support,Proficient,S2,AAGS2,46
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Support,Associate,S1,AAGS1,47
2021 Comptryx,General & Administrative,Administrative Services,Administrative - CAO/Office/Clerical,AAG,Unknown,Unknown,XX,AAGXX,48
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Executive,Unknown,EX,AALEX,49
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Management,Unknown,MX,AALMX,50
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Management,Senior Director,M6,AALM6,51
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Management,Director,M5,AALM5,52
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Management,Senior Manager,M4,AALM4,53
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Management,Manager,M3,AALM3,54
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Management,Senior Supervisor,M2,AALM2,55
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Management,Supervisor,M1,AALM1,56
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Professional,Unknown,PX,AALPX,57
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Professional,Fellow,P8,AALP8,58
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Professional,Strategist,P7,AALP7,59
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Professional,Advisory,P6,AALP6,60
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Professional,Expert,P5,AALP5,61
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Professional,Mastery,P4,AALP4,62
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Professional,Proficiency,P3,AALP3,63
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Professional,Developing,P2,AALP2,64
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Professional,Entry,P1,AALP1,65
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Support,Unknown,SX,AALSX,66
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Support,Specialist,S5,AALS5,67
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Support,Advanced,S4,AALS4,68
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Support,Skilled,S3,AALS3,69
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Support,Proficient,S2,AALS2,70
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Support,Associate,S1,AALS1,71
2021 Comptryx,General & Administrative,Administrative Services,Language Translation,AAL,Unknown,Unknown,XX,AALXX,72
