SURVEY_TITLE,MAJOR_FUNCTION,FUNCTION,SUB_FUNCTION,CODE,CAREER_STREAM,CAREER_LEVEL_TITLE,LEVEL_CODE,FAMILY_TITLE,SUB-FAMILY_TITLE,UNIVERSAL_NAVIGATION_GROUP_TITLE,SPECIALIZATION_CODE,SPECIALIZATION_TITLE,INDUSTRY,FUNCTION,DEPARTMENT,CAREER_STREAM_LEVEL,LIBRARY_JOB_CODE,LIBRARY_JOB_TITLE,DUMMY_ID
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Executive,Unknown,EX,"Administration, Facilities & Secretarial",Facilities Management & Planning,,AFS.02.001,Head of Facilities & Administrative Support,Cross Industry,Facilities Management,Leadership,Sub-Function Head,AFS.02.001.Sub-Function Head,Head of Facilities & Administrative Support - Sub-Function Head,1
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Executive,"Officer, EVP, SVP, VP","E4,E3,E2,E1","Administration, Facilities & Secretarial",Facilities Management & Planning,,AFS.02.001,Head of Facilities & Administrative Support,Cross Industry,Facilities Management,Leadership,Sub-Function Head,AFS.02.001.Sub-Function Head,Head of Facilities & Administrative Support - Sub-Function Head,2
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Management,Unknown,MX,,,,,,,,,,,,3
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Management,Senior Director,M6,"Administration, Facilities & Secretarial",Facilities Management & Planning,,AFS.02.001,Head of Facilities & Administrative Support,Cross Industry,Facilities Management,Leadership,Sub-Function Head,AFS.02.001.Sub-Function Head,Head of Facilities & Administrative Support - Sub-Function Head,4
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Management,Director,M5,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Secretarial Generalists,AFS.01.001,General Office Administration & Secretarial Management,Cross Industry,Administrative Services,Generalists,M50,AFS.01.001.M50,General Office Administration & Secretarial Management - Senior Manager II (M5),5
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Management,Senior Manager,M4,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Secretarial Generalists,AFS.01.001,General Office Administration & Secretarial Management,Cross Industry,Administrative Services,Generalists,M40,AFS.01.001.M40,General Office Administration & Secretarial Management - Senior Manager (M4),6
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Management,Manager,M3,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Secretarial Generalists,AFS.01.001,General Office Administration & Secretarial Management,Cross Industry,Administrative Services,Generalists,M30,AFS.01.001.M30,General Office Administration & Secretarial Management - Manager (M3),7
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Management,Senior Supervisor,M2,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Secretarial Generalists,AFS.01.001,General Office Administration & Secretarial Management,Cross Industry,Administrative Services,Generalists,M20,AFS.01.001.M20,General Office Administration & Secretarial Management - Team Leader (Professionals) (M2),8
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Management,Supervisor,M1,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Secretarial Generalists,AFS.01.001,General Office Administration & Secretarial Management,Cross Industry,Administrative Services,Generalists,M10,AFS.01.001.M10,General Office Administration & Secretarial Management - Team Leader (Para-Professionals) (M1),9
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Professional,Unknown,PX,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.040,General Office Operations,Cross Industry,Administrative Services,Administrative Support,,,,10
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Professional,Fellow,P8,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.040,General Office Operations,Cross Industry,Administrative Services,Administrative Support,,,,11
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Professional,Strategist,P7,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.040,General Office Operations,Cross Industry,Administrative Services,Administrative Support,,,,12
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Professional,Advisory,P6,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.040,General Office Operations,Cross Industry,Administrative Services,Administrative Support,P50,AFS.01.040.P50,General Office Operations - Expert Professional (P5),13
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Professional,Expert,P5,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.040,General Office Operations,Cross Industry,Administrative Services,Administrative Support,P50,AFS.01.040.P50,General Office Operations - Expert Professional (P5),14
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Professional,Mastery,P4,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.040,General Office Operations,Cross Industry,Administrative Services,Administrative Support,P40,AFS.01.040.P40,General Office Operations - Specialist Professional (P4),15
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Professional,Proficiency,P3,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.040,General Office Operations,Cross Industry,Administrative Services,Administrative Support,P30,AFS.01.040.P30,General Office Operations - Senior Professional (P3),16
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Professional,Developing,P2,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.040,General Office Operations,Cross Industry,Administrative Services,Administrative Support,P20,AFS.01.040.P20,General Office Operations - Experienced Professional (P2),17
2021 Comptryx,General & Administrative,Administrative Services,Secretary/Administrative Assistant,AAA,Professional,Entry,P1,"Administration, Facilities & Secretarial",Administration & Secretarial,Administration & Support,AFS.01.040,General Office Operations,Cross Industry,Administrative Services,Administrative Support,P10,AFS.01.040.P10,General Office Operations - Entry Professional (P1),18
