MJL_CODE,MJL_JOB_POS_TITLE,MJL_JOB_POS_DESCR,MJL_JOB_FAMILY_NAME,MJL_JOB_SUBFAM_NAME,MJL_JOB_SPEC_NAME,MJL_JOB_CARSTRM_NAME,MJL_JOB_CARLVL_NAME,MJL_JOB_CJ_TITLE,MJL_JOB_BROAD_BASE,LIBSPEC_FLAG1,YOUR_TITLE,YOUR_CODE,YOUR_LEVEL,YOUR_GRADE,RPTSTO,POS_CLASS,GEORESP2_GEO_RESP_DESC,BIRTH_YEAR,AGE_NUM,TENURE_NUM,GENDER,CITY_DESCR,REG_DESCR,YOUR_EEID,COMP1,MONTH_BASE,NUM_MONTHS,COMP1_12M,MEAL_ALLOW,TRANS_ALLOW,HSNG_ALLOW,COMP2,STIELIG,BONTPER,BONACT,COMMELIG,COMMTPER,COMMACT,COMP3TGT,COMP3ACT,ORGDATA_ORGOWNDESC_ORG_OWN_DES,ORGDATA_ORGTYPEDESC_ORG_TYPE_D,ORGDATA_SUPER_SECTOR_SS_NAME,ORGDATA_SECTOR_SECT_NAME,ORGDATA_SUBSECT_SUBSECT_NAME,ORGDATA_VOL_REV,ORGDATA_VOL_OPBUD,ORGDATA_NUM_EMP,ORG_INFO_COMPANY_CODE,COUNTRY_NAME
LCA.03.011.P60,Legal Counsel: General Business - Pre-eminent Professional (P6),"Legal Counsel: General Business includes advice/counsel across multiple areas of business law related to an organization’s legal rights and obligations, including: •Providing legal advice/counsel in business-related areas of expertise (e.g., corporate law, real estate, tax, business litigation, transactions/anti-trust, compliance, intellectual property, employment/labor, corporate governance, ethics, etc.) •Researching, analyzing, and interpreting proposed and existing laws, statutes, and regulations •Identifying, evaluating, and addressing issues of legal risk •Structuring, drafting, negotiating and/or approving legal contracts, letters of agreement, policies and other documents related to a variety of trade, commercial, financial, and operational matters •May represent/advocate for an organization in litigation, arbitration, mediation or other disputes with courts, government agencies, or other legal authorities •In-house legal counsel may also be accountable for liaising with external legal counsel on complex legal issues A Pre-eminent Professional (P6) is recognized both within and outside the organization as thought leader in area of expertise. Responsibilities typically include: • Recommending operational strategies and plans with direct impact on results. • Influencing business decisions made by leadership. • Problems are complex and multi-dimensional. • Requires communication with executive leadership on matters of strategic importance.","Legal, Compliance & Audit",Legal,Legal Counsel: General Business,PROFESSIONAL,Pre-eminent Professional (P6),Legal - Pre-eminent Professional (P6),1,,HEAD,,,,CLC,57,In-Country,1970,51,6,M,,Region 1,28,84616,6044,14,72528,1584,,,86200,N,,,N,,,86200,86200,State-Owned Enterprise (Crown Corporation),Subsidiary,Banking/Financial Services,Asset Management,Public Funds,,30000000,39,COMPANY B,COUNTRY A
LCA.03.001.E14,Head of Legal - Country Subsidiary (E1),"Head of Legal is accountable for work associated with two or more of the following: •General Business Law/ Legal Counsel •Patent/Intellectual Property Law •Legal Research & Document Drafting •Contract Negotiation & Administration •Legal Records Management Establishes and implements strategies that have short to mid-term (1-3 years) impact on business results in alignment with parent/corporate organization objectives. •Leads multiple teams of directors/senior managers, and managers. •Develops short to mid-term (1-3 years) plans for optimizing the organization, function, or sub-function and the talent required to execute strategies in job area.","Legal, Compliance & Audit",Legal,Head of Legal,EXECUTIVE,Executive Level 1 (E1),Legal - Country Subsidiary (E1),1,,CHIEF LEGAL COUNCEL,,,,CEO,60,In-Country,1968,53,3,F,,Region 1,83,129990,9285,14,111420,1584,,,131574,N,,,N,,,131574,131574,State-Owned Enterprise (Crown Corporation),Subsidiary,Banking/Financial Services,Asset Management,Public Funds,,30000000,39,COMPANY B,COUNTRY A
AFS.01.001.M30,General Office Administration & Secretarial Management - Manager (M3),"General Office Administration & Secretarial Management is accountable for processes and teams in two or more of the following areas: •General Office Administration and Clerical Support •Reception/Telephone/Switchboard •Mailroom & Filing Support •Secretarial/Administrative Assistant Support •In some organizations may be accountable for office event planning and/or office space planning A Manager (M3) manages experienced professionals who exercise latitude and independence in assignments. Responsibilities typically include: • Policy and strategy implementation for short-term results (1 year or less). • Problems faced are difficult to moderately complex. • Influences others outside of own job area regarding policies, practices and procedures.","Administration, Facilities & Secretarial",Administration & Secretarial,General Office Administration & Secretarial Management,MANAGEMENT,Manager (M3),Administration & Secretarial - Manager (M3),1,,HEAD OF OPERATIONS & PROCUREMENT,,,,EB MEMBER,52,In-Country,1979,42,7,M,,Region 1,30,61712,4408,14,52896,1584,,,63296,N,,,N,,,63296,63296,State-Owned Enterprise (Crown Corporation),Subsidiary,Banking/Financial Services,Asset Management,Public Funds,,30000000,39,COMPANY B,COUNTRY A
LCA.05.002.M30,Internal Audit: Financial Processes & Systems - Manager (M3),"Internal Audit: Financial Processes & Systems work focuses on determining the reliability and effectiveness of internal financial controls including: •Monitoring, evaluating, and testing financial records, processes, and systems •Auditing recording of transactions and compliance with applicable laws, agreements, and policies •Preparing reports of findings and recommendations to management •May recommend improvements to financial practices, processes and control procedures A Manager (M3) manages experienced professionals who exercise latitude and independence in assignments. Responsibilities typically include: • Policy and strategy implementation for short-term results (1 year or less). • Problems faced are difficult to moderately complex. • Influences others outside of own job area regarding policies, practices and procedures.","Legal, Compliance & Audit",Internal Audit,Internal Audit: Financial Processes & Systems,MANAGEMENT,Manager (M3),Internal Audit - Manager (M3),,,HEAD IA,,,,AUDIT COMMITTEE,54,In-Country,1973,48,7,M,,Region 1,42,83622,5973,14,71676,1584,,,85206,N,,,N,,,85206,85206,State-Owned Enterprise (Crown Corporation),Subsidiary,Banking/Financial Services,Asset Management,Public Funds,,30000000,39,COMPANY B,COUNTRY A
LCA.05.002.P30,Internal Audit: Financial Processes & Systems - Senior Professional (P3),"Internal Audit: Financial Processes & Systems work focuses on determining the reliability and effectiveness of internal financial controls including: •Monitoring, evaluating, and testing financial records, processes, and systems •Auditing recording of transactions and compliance with applicable laws, agreements, and policies •Preparing reports of findings and recommendations to management •May recommend improvements to financial practices, processes and control procedures A Senior Professional (P3) applies advanced knowledge of job area typically obtained through advanced education and work experience. Responsibilities typically include: • Managing projects / processes, working independently with limited supervision. • Coaching and reviewing the work of lower level professionals. • Problems faced are difficult and sometimes complex.","Legal, Compliance & Audit",Internal Audit,Internal Audit: Financial Processes & Systems,PROFESSIONAL,Senior Professional (P3),Internal Audit - Senior Professional (P3),,,IA,,,,HEAD IA,50,In-Country,1974,47,7,F,,Region 1,37,65870,4705,14,56460,1584,,,67454,N,,,N,,,67454,67454,State-Owned Enterprise (Crown Corporation),Subsidiary,Banking/Financial Services,Asset Management,Public Funds,,30000000,39,COMPANY B,COUNTRY A
LCA.05.001.M30,Internal Audit: General Processes & Systems - Manager (M3),"Internal Audit: General Processes & System includes work across multiple audit areas including: •Process/operations monitoring and review (review of operational and/or financial processes; documentation of performance and productivity) •Financial transaction monitoring and review (verification and inspection of financial statements, transactions, reports, and policies) •Systems auditing (e.g., IT systems audit; information security evaluation) •Audit reporting for external auditors, regulatory authorities, joint venture partners, etc. A Manager (M3) manages experienced professionals who exercise latitude and independence in assignments. Responsibilities typically include: • Policy and strategy implementation for short-term results (1 year or less). • Problems faced are difficult to moderately complex. • Influences others outside of own job area regarding policies, practices and procedures.","Legal, Compliance & Audit",Internal Audit,Internal Audit: General Processes & Systems,MANAGEMENT,Manager (M3),Internal Audit - Manager (M3),1,,COMPLIANCE & CORPORATE SECRETARY,,,,GENERAL COUNCIL,54,In-Country,1977,44,0,M,,Region 1,101,74662,5333,14,63996,1584,,,76246,N,,,N,,,76246,76246,State-Owned Enterprise (Crown Corporation),Subsidiary,Banking/Financial Services,Asset Management,Public Funds,,30000000,39,COMPANY B,COUNTRY A
LCA.03.011.P40,Legal Counsel: General Business - Specialist Professional (P4),"Legal Counsel: General Business includes advice/counsel across multiple areas of business law related to an organization’s legal rights and obligations, including: •Providing legal advice/counsel in business-related areas of expertise (e.g., corporate law, real estate, tax, business litigation, transactions/anti-trust, compliance, intellectual property, employment/labor, corporate governance, ethics, etc.) •Researching, analyzing, and interpreting proposed and existing laws, statutes, and regulations •Identifying, evaluating, and addressing issues of legal risk •Structuring, drafting, negotiating and/or approving legal contracts, letters of agreement, policies and other documents related to a variety of trade, commercial, financial, and operational matters •May represent/advocate for an organization in litigation, arbitration, mediation or other disputes with courts, government agencies, or other legal authorities •In-house legal counsel may also be accountable for liaising with external legal counsel on complex legal issues A Specialist Professional (P4) is a recognized subject matter expert in job area typically obtained through advanced education and work experience. Responsibilities typically include: • Managing large projects or processes with limited oversight from manager. • Coaching, reviewing and delegating work to lower level professionals. • Problems faced are difficult and often complex.","Legal, Compliance & Audit",Legal,Legal Counsel: General Business,PROFESSIONAL,Specialist Professional (P4),Legal - Specialist Professional (P4),1,,OFFICER,,,,CLC,52,In-Country,1994,27,0,F,,Region 1,99,26600,1900,14,22800,1584,,,28184,N,,,N,,,28184,28184,State-Owned Enterprise (Crown Corporation),Subsidiary,Banking/Financial Services,Asset Management,Public Funds,,30000000,39,COMPANY B,COUNTRY A
CCA.04.001.E10,Corporate Affairs - Sub-function Executive 1 (E1),"Corporate Affairs work is focused on influencing multiple categories of external audiences/stakeholders to improve the environment in which an organization operates including: •Government Relations (influencing government policy and legislative direction to improve the organization’s regulatory and economic environments) •Public Relations (communications to customers, consumers, the media and the general public to protect and promote the reputation of the organization) •Community Relations/Corporate Responsibility (active involvement with the communities in which an organization operates to address social, economic, and environmental challenges and promote the organization’s image in a positive way) Establishes and implements strategies that have short to mid-term (1-3 years) impact on business results in alignment with parent/corporate organization objectives. •Leads multiple teams of directors/senior managers, and managers. •Develops short to mid-term (1-3 years) plans for optimizing the organization, function, or sub-function and the talent required to execute strategies in job area.",Communications & Corporate Affairs,Corporate Affairs,Corporate Affairs,EXECUTIVE,Executive Level 1 (E1),Corporate Affairs - Sub-function Executive 1 (E1),1,,HEAD CORPORATE GOVERNANCE,,,,EB MEMBER,57,In-Country,1964,57,3,M,,Region 1,84,97552,6968,14,83616,1584,,,99136,N,,,N,,,99136,99136,State-Owned Enterprise (Crown Corporation),Subsidiary,Banking/Financial Services,Asset Management,Public Funds,,30000000,39,COMPANY B,COUNTRY A
CCA.04.001.P30,Corporate Affairs - Senior Professional (P3),"Corporate Affairs work is focused on influencing multiple categories of external audiences/stakeholders to improve the environment in which an organization operates including: •Government Relations (influencing government policy and legislative direction to improve the organization’s regulatory and economic environments) •Public Relations (communications to customers, consumers, the media and the general public to protect and promote the reputation of the organization) •Community Relations/Corporate Responsibility (active involvement with the communities in which an organization operates to address social, economic, and environmental challenges and promote the organization’s image in a positive way) A Senior Professional (P3) applies advanced knowledge of job area typically obtained through advanced education and work experience. Responsibilities typically include: • Managing projects / processes, working independently with limited supervision. • Coaching and reviewing the work of lower level professionals. • Problems faced are difficult and sometimes complex.",Communications & Corporate Affairs,Corporate Affairs,Corporate Affairs,PROFESSIONAL,Senior Professional (P3),Corporate Affairs - Senior Professional (P3),1,,OFFICER,,,,HEAD CG,50,In-Country,1978,43,0,M,,Region 1,102,53760,3840,14,46080,1584,,,55344,N,,,N,,,55344,55344,State-Owned Enterprise (Crown Corporation),Subsidiary,Banking/Financial Services,Asset Management,Public Funds,,30000000,39,COMPANY B,COUNTRY A
GMA.03.012.P50,Risk Modelling - Expert Professional (P5),"Responsible for risk analysis, identifying risk factors and developing risk management models. Handles risk simulation and predicts risk incidence and the ensuing potential financial loss. Determines the methodology of risk modelling and risk assessment tools. An Expert Professional (P5) is a recognized master in professional discipline typically obtained through advanced education and work experience. Responsibilities typically include: • Establishing operational plans for job area. • Developing and implementing new products, processes, standards or operational plans that will have impact on the achievement of functional results. • Requires communication with leadership.",General Management,Risk Management,Risk Modelling,PROFESSIONAL,Expert Professional (P5),Risk Management - Expert Professional (P5),,,RISK OFFICER,,,,HEAD RISK,55,In-Country,1980,41,2,F,,Region 1,89,60718,4337,14,52044,1584,,,62302,N,,,N,,,62302,62302,State-Owned Enterprise (Crown Corporation),Subsidiary,Banking/Financial Services,Asset Management,Public Funds,,30000000,39,COMPANY B,COUNTRY A
